GeneFamily,Sample,Value,Condition
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,108.2251082251,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,79.0469310906,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,105.9048377572,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,71.4285714286,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,GeneFamily,UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,108.2251082251,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,79.0469310906,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,105.9048377572,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,71.4285714286,No-Monarch
UniRef90_A0A062XAR0|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,45.9040375186,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,46.7286952878,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,119.40105547040001,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,45.9040375186,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,46.7286952878,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,119.40105547040001,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A073JMZ4|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_256,30.8064780517,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_257,52.2753317705,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Experiment_259,67.3779273532,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,NoMonarch_Wild_261,0.0,No-Monarch
UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,GeneFamily,UniRef90_A0A073JPB6|g__Lactobacillus.s__Lactobacillus_reuteri,Monarch
