GeneFamily,Sample,Value,Condition
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Experiment_256,0.0,No-Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Experiment_259,0.0,No-Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A010S6N4|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Wild_261,81.9216169373,No-Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Experiment_256,0.0,No-Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Experiment_259,0.0,No-Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A010SIG9|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Wild_261,31.365819258600002,No-Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_252,0.0,Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Wild_253,0.0,Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Experiment_254,0.0,Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,Monarch_Experiment_255,0.0,Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Experiment_256,0.0,No-Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Experiment_257,0.0,No-Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Experiment_258,0.0,No-Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Experiment_259,0.0,No-Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Wild_260,0.0,No-Monarch
UniRef90_A0A010T5Z3|g__Pseudomonas.s__Pseudomonas_lundensis,NoMonarch_Wild_261,51.7898318781,No-Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_248,0.0,Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_249,0.0,Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_250,0.0,Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_251,0.0,Monarch
UniRef90_A0A015P063|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_252,41.7747457969,Monarch
