GeneFamily,Sample,Value
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_248,27.649428806
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_249,0.0
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_250,43.0319599904
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_251,0.0
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_252,0.0
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Wild_253,26.1723371815
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_254,19.9267289602
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,Monarch_Experiment_255,36.9037848732
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_256,27.7628741619
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_257,24.6616834166
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_258,12.256664636400002
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Experiment_259,26.498051471700002
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_260,36.0552193614
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_animalis,NoMonarch_Wild_261,0.0
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_248,28.1706263754
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_249,0.0
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_250,42.6382853804
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_251,0.0
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_252,0.0
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_253,33.4124104057
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_254,41.0584444741
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Experiment_255,51.9464222706
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_256,41.9616978937
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_257,35.724681806
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_258,25.827631789699996
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Experiment_259,19.7404581729
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_260,78.6194167375
UniRef90_A0A062WXU8|g__Lactobacillus.s__Lactobacillus_murinus,NoMonarch_Wild_261,0.0
UniRef90_A0A062WXV8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_248,0.0
UniRef90_A0A062WXV8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_249,0.0
UniRef90_A0A062WXV8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_250,32.9096275071
UniRef90_A0A062WXV8|g__Lactobacillus.s__Lactobacillus_murinus,Monarch_Wild_251,0.0
