GeneFamily,Sample,Value,Condition
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_248,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_249,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_250,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_251,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_252,15867.572045307199,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Wild_253,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Experiment_254,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,Monarch_Experiment_255,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_256,0.0,No-Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_257,0.0,No-Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_258,0.0,No-Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Experiment_259,0.0,No-Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,No_Monarch_Wild_260,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis,NoMonarch_Wild_261,0.0,No-Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Wild_248,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Wild_249,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Wild_250,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Wild_251,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Wild_252,4256.604251640801,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Wild_253,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Experiment_254,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,Monarch_Experiment_255,0.0,Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,NoMonarch_Experiment_256,0.0,No-Monarch
UNINTEGRATED|g__Bacteroides.s__Bacteroides_uniformis_CAG_3,NoMonarch_Experiment_257,0.0,No-Monarch
