id,NoMonarch_Wild_261,NoMonarch_Wild_260,NoMonarch_Experiment_259,NoMonarch_Experiment_258,NoMonarch_Experiment_257,NoMonarch_Experiment_256,Monarch_Experiment_255,Monarch_Experiment_254,Monarch_Wild_253,Monarch_Wild_252,Monarch_Wild_251,Monarch_Wild_250,Monarch_Wild_249,Monarch_Wild_248
Bacteria,98.42378000000001,100.0,99.7318,99.86391,99.88117,99.37548000000001,100.0,100.0,95.13882,94.33371,100.0,97.90902,100.0,100.0
Bacteria.Actinobacteria,1.945,2.41768,0.0884,0.36162,0.25209000000000004,0.07458,0.28683000000000003,7.581189999999999,21.11265,7.765110000000001,26.757720000000003,1.55778,29.639509999999998,10.38925
Bacteria.Actinobacteria.Coriobacteriia,1.945,2.41768,0.0884,0.36162,0.25209000000000004,0.07458,0.28683000000000003,7.581189999999999,21.11265,7.765110000000001,26.757720000000003,1.55778,29.639509999999998,10.38925
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales,0.8991100000000001,0.36055,0.06548999999999999,0.20838,0.25209000000000004,0,0.21047,0.3492,5.59514,1.37348,6.535909999999999,0.84693,14.192039999999999,6.46835
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Atopobiaceae,0.08816,0.028419999999999997,0,0.01555,0.025789999999999997,0,0.0381,0,0.11385999999999999,0,0,0,0,0.318
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Atopobiaceae.Olsenella,0.08816,0.028419999999999997,0,0.01555,0.025789999999999997,0,0.0381,0,0.11385999999999999,0,0,0,0,0.318
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Atopobiaceae.Olsenella.scatoligenes,0.08816,0.028419999999999997,0,0.01555,0.025789999999999997,0,0.0381,0,0.11385999999999999,0,0,0,0,0.318
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae,0.81095,0.33213000000000004,0.06548999999999999,0.19283,0.2263,0,0.17237,0.3492,5.48128,1.37348,6.535909999999999,0.84693,14.192039999999999,6.15035
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella,0.49333,0.33213000000000004,0.06548999999999999,0.19283,0.18162,0,0.17237,0.21456,3.3189300000000004,1.37348,5.53611,0.35786,9.75572,5.3459
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella.aerofaciens,0.39442,0,0,0.13527999999999998,0.1616,0,0,0.1237,1.33133,1.37348,3.48805,0.17620999999999998,6.5081,1.49928
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella.intestinalis,0.09891,0.16476,0.06548999999999999,0.0343,0,0,0,0.09086,1.64412,0,0.66925,0,0,1.07282
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella.stercoris,0,0.16737,0,0.02325,0.02002,0,0.17237,0,0.34348,0,1.3788,0.18165,3.24762,2.7738
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Enorma,0.31761999999999996,0,0,0,0.044680000000000004,0,0,0.13465,2.16235,0,0.99979,0.48907,4.436319999999999,0.80445
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Enorma.massiliensis,0.08964,0,0,0,0,0,0,0,0.8225600000000001,0,0,0,0,0
Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Enorma.massiliensis,0.22798000000000002,0,0,0,0.044680000000000004,0,0,0.13465,1.33979,0,0.99979,0.48907,4.436319999999999,0.80445
Bacteria.Actinobacteria.Coriobacteriia.Eggerthellales,1.04589,2.05713,0.02291,0.15325,0,0.07458,0.07636,7.23199,15.5175,6.39163,20.22181,0.71085,15.447470000000001,3.9209
