#mpa_v30_CHOCOPhlAn_201901
clade_name,NCBI_tax_id,RM-261_S63_L001_R2_001.trimmed_profile,RM-261_S63_L001_R1_001.trimmed_profile,RM-260_S55_L001_R2_001.trimmed_profile,RM-260_S55_L001_R1_001.trimmed_profile,RM-259_S47_L001_R2_001.trimmed_profile,RM-259_S47_L001_R1_001.trimmed_profile,RM-258_S39_L001_R2_001.trimmed_profile,RM-258_S39_L001_R1_001.trimmed_profile,RM-257_S31_L001_R2_001.trimmed_profile,RM-257_S31_L001_R1_001.trimmed_profile,RM-256_S23_L001_R2_001.trimmed_profile,RM-256_S23_L001_R1_001.trimmed_profile,RM-255_S15_L001_R2_001.trimmed_profile,RM-255_S15_L001_R1_001.trimmed_profile,RM-254_S7_L001_R2_001.trimmed_profile,RM-254_S7_L001_R1_001.trimmed_profile,RM-253_S94_L001_R2_001.trimmed_profile,RM-253_S94_L001_R1_001.trimmed_profile,RM-252_S86_L001_R2_001.trimmed_profile,RM-252_S86_L001_R1_001.trimmed_profile,RM-251_S78_L001_R2_001.trimmed_profile,RM-251_S78_L001_R1_001.trimmed_profile,RM-250_S70_L001_R2_001.trimmed_profile,RM-250_S70_L001_R1_001.trimmed_profile,RM-249_S62_L001_R_2un.trimmed_profile,RM-249_S62_L001_R_2.trimmed_profile,RM-249_S62_L001_R2_001.trimmed_profile,RM-249_S62_L001_R_1un.trimmed_profile,RM-249_S62_L001_R_1.trimmed_profile,RM-249_S62_L001_R1_001.trimmed_profile,RM-248_S54_L001_R2_001.trimmed_profile,RM-248_S54_L001_R1_001.trimmed_profile
UNKNOWN,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,100.0,100.0,100.0,100.0,100.0,0,0
Bacteria,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,100.0,100.0
Bacteria.Bacteroidetes,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.74752,25.6019,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia,976|200643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.74752,25.6019,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales,976|200643|171549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.74752,25.6019,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae,976|200643|171549|2005525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.74752,25.6019,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides,976|200643|171549|2005525|375288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.74752,25.6019,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.Parabacteroides_goldsteinii,976|200643|171549|2005525|375288|328812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.74752,25.6019,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Firmicutes,1239,0,0,99.79205999999999,99.79517,100.0,100.0,14.19578,12.92446,24.34915,25.19431,81.88435,81.16735,61.0452,57.90693,97.34869,97.63207,100.0,100.0,77.25248,74.3981,100.0,100.0,100.0,100.0,0,0,0,0,0,0,100.0,100.0
Bacteria.Firmicutes.Bacilli,1239|91061,0,0,99.79205999999999,99.79517,100.0,100.0,14.19578,12.92446,24.34915,25.19431,81.88435,81.16735,61.0452,57.90693,97.34869,97.63207,100.0,100.0,77.25248,74.3981,100.0,100.0,100.0,100.0,0,0,0,0,0,0,100.0,100.0
Bacteria.Firmicutes.Bacilli.Lactobacillales,1239|91061|186826,0,0,99.79205999999999,99.79517,100.0,100.0,14.19578,12.92446,24.34915,25.19431,81.88435,81.16735,61.0452,57.90693,97.34869,97.63207,100.0,100.0,77.25248,74.3981,100.0,100.0,100.0,100.0,0,0,0,0,0,0,100.0,100.0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae,1239|91061|186826|81852,0,0,0,0.10613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus,1239|91061|186826|81852|1350,0,0,0,0.10613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.Enterococcus_durans,1239|91061|186826|81852|1350|53345,0,0,0,0.10613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae,1239|91061|186826|33958,0,0,99.79205999999999,99.68904,100.0,100.0,14.19578,12.92446,24.34915,25.19431,81.88435,81.16735,61.0452,57.90693,97.34869,97.63207,100.0,100.0,77.25248,74.3981,100.0,100.0,100.0,100.0,0,0,0,0,0,0,100.0,100.0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus,1239|91061|186826|33958|1578,0,0,99.79205999999999,99.68904,100.0,100.0,14.19578,12.92446,24.34915,25.19431,81.88435,81.16735,61.0452,57.90693,97.34869,97.63207,100.0,100.0,77.25248,74.3981,100.0,100.0,100.0,100.0,0,0,0,0,0,0,100.0,100.0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus_animalis,1239|91061|186826|33958|1578|1605,0,0,85.33088000000001,86.01547,91.61143,91.92492,11.70674,11.088239999999999,21.292360000000002,22.06586,70.66206,75.77104,54.0261,53.32391,80.41114,81.00694,95.96104,91.43086,77.25248,66.57956,100.0,100.0,90.13580999999999,92.39882,0,0,0,0,0,0,93.44451,100.0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus_murinus,1239|91061|186826|33958|1578|1622,0,0,14.461179999999999,13.673570000000002,5.99214,7.30006,2.48904,1.83622,3.0567900000000003,3.12845,11.02392,5.39631,7.0191,4.583019999999999,16.93755,16.62514,4.038959999999999,8.569139999999999,0,7.81855,0,0,9.864189999999999,7.60118,0,0,0,0,0,0,6.55549,0
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.Lactobacillus_reuteri,1239|91061|186826|33958|1578|1598,0,0,0,0,2.39643,0.7750199999999999,0,0,0,0,0.19835999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria.Proteobacteria,1224,100.0,100.0,0.20794,0.20483,0,0,85.80422,87.07554,75.65085,74.80569,18.11565,18.83265,38.9548,42.093070000000004,2.65131,2.36793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
